Kingdom	Phylum	Class	Order	Family	Genus	Species	gtdb	kegg	PhaC_status
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	Prosthecomicrobium	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Genus_of_Xanthobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	NA	YES	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	NA	YES	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Family of Rhizobiales	Genus_of_Rhizobiales	NA	NA	NA	Unknown
Bacteria	Bdellovibrionota	Oligoflexia	053A03-B-DI-P58	053A03-B-DI-P58	053A03-B-DI-P58	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira	NA	NA	NA	Unknown
Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Tetrasphaera	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Genus_of_Intrasporangiaceae	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Genus_of_Microbacteriaceae	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Family of Micrococcales	Genus_of_Micrococcales	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	NA	YES	YES	YES
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	NA	YES	YES	YES
Bacteria	Actinobacteriota	Actinobacteria	PeM15	PeM15	PeM15	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Order of Actinobacteria	Family of Actinobacteria	Genus_of_Actinobacteria	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	YES	YES	YES
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Candidatus_Microthrix	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Genus_of_Microtrichaceae	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Order of Acidimicrobiia	Family of Acidimicrobiia	Genus_of_Acidimicrobiia	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Family of Gaiellales	Genus_of_Gaiellales	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophagaceae	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophaga	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Genus_of_Holophagaceae	NA	NA	NA	Unknown
Bacteria	Margulisbacteria	Margulisbacteria	Margulisbacteria	Margulisbacteria	Margulisbacteria	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Proteiniclasticum	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	NA	NA	NA	Unknown
