Genus	PhaC
Nucleicultrix	YES
Chondromyces	YES
CI75cm.2.12	NO
Polyangium_brachysporum_group	NO
Anaerocella	NO
Sedimentitalea	NO
Pseudohongiella	NO
Anaerolineaceae_UCG-001	NO
Timonella	NO
Bergeyella	NO
Mangroviflexus	NO
Leptothrix_sp._FC_170	NO
Sedimenticola	YES
Azorhizobium	YES
Clostridium_sensu_stricto_13	NO
Sulfurospirillum	NO
CENA359	NO
Geminocystis_PCC-6308	NO
Peptostreptococcus	NO
Miniimonas	NO
Robiginitalea	NO
Flectobacillus	NO
Flexivirga	NO
Oligoflexus	NO
mixed_culture_isolate_koll13	NO
Candidimonas	NO
Marinicella	NO
Desulfatitalea	NO
Ochrobactrum	NO
Tepidimonas	YES
Kineosphaera	NO
Caldisericum	NO
Achromobacter	YES
Sideroxydans	NO
Soonwooa	NO
Thermodesulfobium	NO
Spirosoma	NO
Prevotella_7	NO
Sulfurimonas	NO
Gaetbulibacter	NO
Tropicimonas	NO
Acidaminobacter	NO
Schumannella	NO
Dysgonomonas	NO
IMCC26134	NO
Sporosarcina	YES
Klebsiella	NO
Primorskyibacter	NO
Hydromonas_sp._F02	NO
Phormidesmis_ANT.LACV5.1	NO
Salinibacterium	NO
BIyi10	NO
Parablastomonas	NO
Extensimonas	NO
Berkiella	NO
SD04E11	NO
Endoecteinascidia	NO
Trichlorobacter	NO
Aequorivita	NO
Rhodobium	NO
Dechlorobacter	NO
Odyssella	NO
Calorithrix	NO
Sva0081_sediment_group	NO
Marinoscillum	NO
Dinghuibacter	NO
Desulfomicrobium	NO
Sphingoaurantiacus	NO
Desulfobacter	NO
Sulfuricurvum	NO
Janthinobacterium	YES
Psychromonas	NO
Pseudanabaena_PCC-7429	NO
Holospora	NO
TPD-58	NO
Desulfobacterium_catecholicum_group	NO
AKYG587	NO
Aminivibrio	NO
Microbacter	NO
Raoultella	NO
FukuN57	NO
Parasediminibacterium	NO
CAG-352	NO
Desulforhopalus	NO
KCM-B-112	NO
Propionispira	NO
Ruminococcus_gnavus_group	NO
Seohaeicola	NO
Hymenobacter	NO
S5-A14a	NO
Bernardetia	YES
Eubacterium_hallii_group	NO
Seleniivibrio	NO
Bogoriella	NO
Anaerofilum	NO
DSSF69	NO
Methylomicrobium	NO
Janibacter	YES
Acetitomaculum	NO
Lapillicoccus	NO
JTB255_marine_benthic_group	NO
Granulosicoccus	YES
Methyloferula	NO
RBG-16-58-14	NO
Arsenicibacter	NO
Aliiroseovarius	YES
Aerosphaera	NO
Dichloromethanomonas	NO
Mobilicoccus	NO
Desulfovermiculus	NO
Acetonema	NO
Herminiimonas	YES
Aureispira	NO
Cetobacterium	NO
Sandarakinorhabdus	NO
Rhodovarius	NO
Soehngenia	NO
Xenophilus	NO
Kinneretia	NO
Catenibacterium	NO
Starkeya	YES
Desulfosarcina	YES
Clostridium_sensu_stricto_9	NO
Roseococcus	NO
Fluviimonas	NO
Blastomonas	YES
UCG-004	NO
I-8	NO
Leptolyngbya_ANT.L52.2	NO
Lacibacter	NO
Endomicrobium	NO
Methylobacterium-Methylorubrum	NO
Haematobacter	YES
Portibacter	NO
Urania-1B-19_marine_sediment_group	NO
Thioalkalispira-Sulfurivermis	NO
Desulfovibrio	NO
Yonghaparkia	NO
Aquaspirillum	YES
Ancylobacter	YES
Clostridium_sensu_stricto_18	NO
Cavicella	NO
Pseudopelobacter	NO
Acanthopleuribacter	NO
Siphonobacter	NO
Silicimonas	YES
Actibacter	NO
Pelosinus	NO
Eubacterium_ventriosum_group	NO
Nitrospina	NO
Cupriavidus	YES
Variibacter	YES
Citrobacter	NO
Vitellibacter	NO
Anaerospora	NO
Ferritrophicum	NO
Serinibacter	NO
Chryseoglobus	NO
Caedibacter	NO
Chthonobacter	NO
Occallatibacter	YES
Azospirillum	YES
Rahnella1	NO
Cryomorpha	NO
UCG-005	NO
Chroococcidiopsis_PCC_7203	NO
Paenirhodobacter	YES
Phascolarctobacterium	NO
Zymophilus	NO
Synechococcus_PCC-7902	NO
Pontibaca	NO
Idiomarina_sp.	NO
Asticcacaulis	YES
Syntrophotalea	NO
Woeseia	NO
Chroococcidiopsis_PCC-6712	NO
Maribacter	NO
Lachnospiraceae_ND3007_group	NO
Ferrovibrio	YES
Hespellia	NO
Gimesia	NO
Pseudodonghicola	NO
Cerasicoccus	NO
CAG-56	NO
Actinotalea	NO
Sorangium	YES
Vampirovibrio	NO
AUTHM297	NO
Trichloromonas	NO
Rhodobacter_sp._JA431	NO
Thiomonas	YES
Methylomonas	NO
Rubribacterium	NO
Riegeria	NO
Luteolibacter	NO
Fuerstia	NO
Rudaea	NO
Noviherbaspirillum	YES
Schleiferia	NO
HdN1	NO
Lachnospira	NO
Tuwongella	NO
Arenibacter	NO
Amoebophilus	NO
Desulfofustis	NO
Limosilactobacillus	NO
Prevotellaceae_UCG-004	NO
Eubacterium_eligens_group	NO
Chlorella_sorokiniana	NO
Chitinimonas	YES
Rhodobaculum	NO
SEEP-SRB1	NO
Formivibrio	NO
DEV114	NO
Camelimonas	NO
Z-35	NO
Sulfitobacter	YES
Methyloterrigena	NO
Geitlerinema_PCC-7105	NO
Ancalomicrobium	NO
Actinobacillus	NO
Succiniclasticum	NO
Gordonibacter	NO
Smaragdicoccus	NO
Desulfoprunum	NO
Marinicaulis	NO
Holophaga	NO
Pseudonocardia	YES
Saccharicrinis	NO
Delftia	YES
Clostridium_sensu_stricto_11	NO
Pedococcus-Phycicoccus	NO
Elizabethkingia	NO
Lactiplantibacillus	NO
Granulicella	NO
MN_122.2a	NO
Actibacterium	YES
Oligotropha	NO
Pseudohoeflea	NO
Erysipelatoclostridium	NO
Clostridium_sensu_stricto_7	NO
Pleomorphomonas	YES
Pseudenhygromyxa	NO
Thiosymbion	NO
Wandonia	NO
Verruc-01	NO
Eubacterium_ruminantium_group	NO
Dehalobacter	NO
Rhodoblastus	YES
Anaerosalibacter	NO
Hathewaya	NO
Jeotgalibaca	NO
Parvibium	NO
Sporobacter	NO
Chelatococcus	YES
Rubritepida	NO
Geminicoccus	NO
Fibrobacter	NO
Pectinatus	NO
Raoultibacter	NO
Pseudoxanthobacter	NO
Aestuariicoccus	NO
Dolosicoccus	NO
Loigolactobacillus	NO
Captivus	NO
Yoonia-Loktanella	NO
Pseudahrensia	NO
mle1-7	NO
Ensifer	YES
Puia	NO
Gaiella_sp._EBR4-RS1	NO
Acetoanaerobium	NO
Aquaspirillum_arcticum_group	NO
Crenobacter	YES
Aquibacter	NO
Parvimonas	NO
Deinococcus	NO
Desulfotalea	NO
Caenispirillum	NO
Desulfocapsa	NO
Raineya	NO
Sediminispirochaeta	NO
Mitsuaria	NO
Desulforegula	NO
Polaribacter	NO
Pelagibacterium_sp.	NO
Budvicia	NO
Fibrisoma	NO
Breznakia	NO
Methyloglobulus	NO
Leeia	NO
Shewanella	YES
Succinispira	NO
Paenochrobactrum	NO
Paludibacterium	NO
Brevibacterium	NO
Roseobacter_clade_NAC11-7_lineage	NO
Oleiphilus	YES
Arachidicoccus	NO
Nubsella	NO
Aerococcus	NO
Mucilaginibacter	NO
Lapidilactobacillus	NO
Stappia	YES
RB41	NO
Thiobaca	NO
Marinifilum	NO
MM2	NO
Gloeocapsa_PCC-7428	NO
Chloronema	NO
Citrifermentans	NO
Andreesenia_angusta	NO
Alkalibacterium	NO
Bealeia	NO
Kribbella	NO
Clostridium_sensu_stricto_10	NO
Clostridium_sensu_stricto_16	NO
Propionibacterium_sp._Marseille-P4482	NO
Eubacterium_fissicatena_group	NO
Rudanella	NO
Tuber_borchii_symbiont_b-17BO	NO
Dellaglioa	NO
Jannaschia	YES
Novispirillum	NO
Rhodobacter_veldkampii	NO
UCG-007	NO
Histiona_aroides	NO
Rhodovulum	YES
UCG-008	NO
JCM_18997	NO
Qipengyuania	YES
Amylolactobacillus	NO
Chelonobacter	NO
Insolitispirillum	NO
Frisingicoccus	NO
Pleurocapsa_PCC-7327	NO
SM23-31	NO
Hypsibius_dujardini	NO
Acetobacter	NO
Parapusillimonas	NO
Megamonas	NO
Buttiauxella	NO
Verrucomicrobium	NO
Aestuariimonas	NO
Paludicola	NO
Tyzzerella	NO
UBA1819	NO
Ignavigranum	YES
Lacticigenium	NO
Homoserinibacter	NO
Mariprofundus	NO
Desulfosporosinus	NO
Labrenzia	YES
Thiodiazotropha	NO
Pseudofulvimonas	NO
Faecalibacterium	NO
Tenacibaculum	NO
Odoribacter	NO
Planococcus	NO
Prevotellaceae_UCG-001	NO
Fr127	NO
Electronema	NO
Klugiella	NO
Silanimonas	NO
Wautersiella	NO
Secundilactobacillus	NO
Caedibacter_taeniospiralis_group	NO
Eoetvoesia	NO
Flaviflexus	NO
Planktothrix_NIVA-CYA_15	NO
Stoquefichus	NO
Rathayibacter	NO
Magnetospirillum	YES
Facklamia	NO
Pricia	NO
Promineofilum_breve	NO
Anaerosporobacter	NO
Halobacteriovorax	NO
Pseudarcicella	NO
Gortzia	NO
Paenibacillus	NO
Ohtaekwangia	NO
OLB13	NO
Reclinomonas_americana_ATCC_50284	NO
Massilia	YES
Owenweeksia	NO
Defluviitaleaceae_UCG-011	NO
Pelistega	NO
Pseudopropionibacterium	NO
Lachnospiraceae_UCG-007	NO
Paraprevotella	NO
Flexibacter	NO
Salinirepens	NO
Sinorhizobium_sp._RAC02	NO
Lentilactobacillus	NO
Asaccharospora	NO
Desulfuromusa	NO
Alcanivorax	YES
